"run id","run timestamp","close period","reviewed memo version","source version","evidence id","sentence id","sentence text","line","account","check","status","finding","proposed conclusion","human conclusion","unresolved issue","action owner","review time"
"run-3-952k3f","2026-09-13T10:47:17.027Z","June 2026","AI draft, Prompt 1 run","src-952k3f-946","run-3-952k3f/e2","","","4010","Patient service revenue, net","Recompute","checked within scope","Prior $742,000, current $803,500, change $61,500, 8.3% of the prior balance. Dollar leg (more than $25,000): met. Percent leg (at least 10 percent): not met.","BELOW THE RULE","","","",""
"run-3-952k3f","2026-09-13T10:47:17.027Z","June 2026","AI draft, Prompt 1 run","src-952k3f-946","run-3-952k3f/e3","","","4220","Orthodontic plan revenue","Recompute","checked within scope","Prior $96,000, current $138,400, change $42,400, 44.2% of the prior balance. Dollar leg (more than $25,000): met. Percent leg (at least 10 percent): met.","CLEARS THE RULE","","","",""
"run-3-952k3f","2026-09-13T10:47:17.027Z","June 2026","AI draft, Prompt 1 run","src-952k3f-946","run-3-952k3f/e4","","","5210","Dental supplies and lab fees","Recompute","checked within scope","Prior $138,500, current $191,200, change $52,700, 38.1% of the prior balance. Dollar leg (more than $25,000): met. Percent leg (at least 10 percent): met.","CLEARS THE RULE","","","",""
"run-3-952k3f","2026-09-13T10:47:17.027Z","June 2026","AI draft, Prompt 1 run","src-952k3f-946","run-3-952k3f/e5","","","6110","Hygienist wages","Recompute","checked within scope","Prior $214,000, current $268,900, change $54,900, 25.7% of the prior balance. Dollar leg (more than $25,000): met. Percent leg (at least 10 percent): met.","CLEARS THE RULE","","","",""
"run-3-952k3f","2026-09-13T10:47:17.027Z","June 2026","AI draft, Prompt 1 run","src-952k3f-946","run-3-952k3f/e6","","","6610","Marketing and patient outreach","Recompute","checked within scope","Prior $18,400, current $24,100, change $5,700, 31.0% of the prior balance. Dollar leg (more than $25,000): not met. Percent leg (at least 10 percent): met.","BELOW THE RULE","","","",""
"run-3-952k3f","2026-09-13T10:47:17.027Z","June 2026","AI draft, Prompt 1 run","src-952k3f-946","run-3-952k3f/e7","1","4220 Orthodontic plan revenue: prior $96,000, current $138,400, rose by $42,400, 44.2 percent, because no source on file (source: no source on file).","4220","Orthodontic plan revenue","Binding","checked within scope","4220 Orthodontic plan revenue (by account number)","BOUND","","","",""
"run-3-952k3f","2026-09-13T10:47:17.027Z","June 2026","AI draft, Prompt 1 run","src-952k3f-946","run-3-952k3f/e9","1","4220 Orthodontic plan revenue: prior $96,000, current $138,400, rose by $42,400, 44.2 percent, because no source on file (source: no source on file).","4220","Orthodontic plan revenue","Figure $96,000","needs review","$96,000: the words around it do not say what it is, and it equals the prior balance on 4220 Orthodontic plan revenue. Confirm the role before this figure counts as checked.","DOLLARS, ROLE UNKNOWN","","What is $96,000 in this sentence: a prior balance, a current balance, a movement or a ratio?","Preparer",""
"run-3-952k3f","2026-09-13T10:47:17.027Z","June 2026","AI draft, Prompt 1 run","src-952k3f-946","run-3-952k3f/e11","1","4220 Orthodontic plan revenue: prior $96,000, current $138,400, rose by $42,400, 44.2 percent, because no source on file (source: no source on file).","4220","Orthodontic plan revenue","Figure $138,400","needs review","$138,400: the words around it do not say what it is, and it equals the current balance on 4220 Orthodontic plan revenue. Confirm the role before this figure counts as checked.","DOLLARS, ROLE UNKNOWN","","What is $138,400 in this sentence: a prior balance, a current balance, a movement or a ratio?","Preparer",""
"run-3-952k3f","2026-09-13T10:47:17.027Z","June 2026","AI draft, Prompt 1 run","src-952k3f-946","run-3-952k3f/e12","1","4220 Orthodontic plan revenue: prior $96,000, current $138,400, rose by $42,400, 44.2 percent, because no source on file (source: no source on file).","4220","Orthodontic plan revenue","Figure $42,400","checked within scope","$42,400 is the absolute movement on 4220 Orthodontic plan revenue, $42,400 unrounded, and the role was read from the word ""by"".","DOLLARS, ROLE ABSOLUTE MOVEMENT","","","",""
"run-3-952k3f","2026-09-13T10:47:17.027Z","June 2026","AI draft, Prompt 1 run","src-952k3f-946","run-3-952k3f/e13","1","4220 Orthodontic plan revenue: prior $96,000, current $138,400, rose by $42,400, 44.2 percent, because no source on file (source: no source on file).","4220","Orthodontic plan revenue","Figure 44.2 percent","checked within scope","44.2 percent is the relative movement, 4220 Orthodontic plan revenue percent change at 44.2% unrounded, and the role was read from the word ""by"".","PERCENT, ROLE RELATIVE MOVEMENT","","","",""
